name,slug,category,religion,denomination,school_type,grade_range,lowest_grade,highest_grade,address,city,county,state,zip,phone,website,total_enrollment,k12_enrollment,student_teacher_ratio,listing_status,source,source_id,needs_review,notes
Desert Jewish Academy,desert-jewish-academy-chandler-az,Christian School,Other religious,Latter Day Saints,Regular,K-7,K,7,3400 N Dobson Rd,Chandler,Maricopa,AZ,85224,(480) 390-0971,,19,19,4.75,Unverified,NCES PSS 2023-24 private school search export,A2100170,Yes,Website missing in NCES export; school should claim/update profile.
Desert Light Christian Academy,desert-light-christian-academy-bullhead-city-az,Christian School,Other religious,Christian (no specific denomination),Regular,K-9,K,9,1690 Newberry Dr,Bullhead City,Mohave,AZ,86442,(928) 754-0160,,61,61,15.25,Unverified,NCES PSS 2023-24 private school search export,A2392058,,Website missing in NCES export; school should claim/update profile.
"Dream City Christian School, Glendale Llc",dream-city-christian-school-glendale-llc-glendale-az,Christian School,Other religious,Assembly of God,Regular,PK-UG,PK,UG,21000 N 75Th Ave,Glendale,Maricopa,AZ,85308,(602) 750-2451,,711,561,12.03,Unverified,NCES PSS 2023-24 private school search export,A1900115,,Website missing in NCES export; school should claim/update profile.
East Fork Lutheran School,east-fork-lutheran-school-whiteriver-az,Christian School,Other religious,Other Lutheran,Regular,K-9,K,9,4325 Fort Apache Rd,Whiteriver,Navajo,AZ,85941,(928) 338-4455,,93,93,11.62,Unverified,NCES PSS 2023-24 private school search export,00032065,,Website missing in NCES export; school should claim/update profile.
East Valley Jcc,east-valley-jcc-chandler-az,Christian School,Other religious,Latter Day Saints,Early childhood/child care,PK-K,PK,K,908 N Alma School Rd,Chandler,Maricopa,AZ,85224,(480) 897-0588,,113,7,4.66,Unverified,NCES PSS 2023-24 private school search export,A2190030,Yes,Website missing in NCES export; school should claim/update profile.
Emmanuel Christian Academy,emmanuel-christian-academy-kingman-az,Christian School,Other religious,Christian (no specific denomination),Regular,PK-9,PK,9,3120 Hualapai Mountain Rd Ste C,Kingman,Mohave,AZ,86401,(928) 681-4220,,268,244,10.04,Unverified,NCES PSS 2023-24 private school search export,A0100517,,Website missing in NCES export; school should claim/update profile.
Emmanuel Lutheran School,emmanuel-lutheran-school-tempe-az,Christian School,Other religious,Other Lutheran,Regular,K-9,K,9,715 W Southern Ave,Tempe,Maricopa,AZ,85282,(480) 967-3991,,137,137,15.22,Unverified,NCES PSS 2023-24 private school search export,00032076,,Website missing in NCES export; school should claim/update profile.
Emmaus Lutheran School,emmaus-lutheran-school-phoenix-az,Christian School,Other religious,Other Lutheran,Regular,PK-9,PK,9,3841 W Sweetwater Ave,Phoenix,Maricopa,AZ,85029,(602) 843-3853,,75,66,12,Unverified,NCES PSS 2023-24 private school search export,00033047,,Website missing in NCES export; school should claim/update profile.
Faith Christian Academy,faith-christian-academy-tucson-az,Christian School,Other religious,Christian (no specific denomination),Regular,7-UG,7,UG,3020 S Mission Rd,Tucson,Pima,AZ,85713,(520) 883-4999,,46,46,6.57,Unverified,NCES PSS 2023-24 private school search export,A1900106,,Website missing in NCES export; school should claim/update profile.
Faith Community Academy,faith-community-academy-tucson-az,Christian School,Other religious,Christian (no specific denomination),Regular,PK-7,PK,7,2551 W Orange Grove Rd,Tucson,Pima,AZ,85741,(520) 742-4189,,146,99,11.12,Unverified,NCES PSS 2023-24 private school search export,A9703841,,Website missing in NCES export; school should claim/update profile.
Faith Lutheran School,faith-lutheran-school-tucson-az,Christian School,Other religious,Evangelical Lutheran Church in America,Regular,PK-9,PK,9,3925 E 5Th St,Tucson,Pima,AZ,85711,(520) 881-0670,,65,51,10.2,Unverified,NCES PSS 2023-24 private school search export,00031833,,Website missing in NCES export; school should claim/update profile.
Family Life Academy,family-life-academy-tucson-az,Christian School,Other religious,Christian (no specific denomination),Regular,K-9,K,9,530 S Pantano Rd,Tucson,Pima,AZ,85710,(520) 296-8989,,110,110,13.09,Unverified,NCES PSS 2023-24 private school search export,A0500072,,Website missing in NCES export; school should claim/update profile.
First Baptist Christian Academy,first-baptist-christian-academy-sierra-vista-az,Christian School,Other religious,Baptist,Regular,PK-12,PK,12,1447 S 7Th St,Sierra Vista,Cochise,AZ,85635,(520) 458-2983,,225,191,11.71,Unverified,NCES PSS 2023-24 private school search export,A9100339,,Website missing in NCES export; school should claim/update profile.
First Southern Christian School,first-southern-christian-school-tucson-az,Christian School,Other religious,Baptist,Regular,PK-7,PK,7,445 E Speedway Blvd,Tucson,Pima,AZ,85705,(520) 624-9797,,82,69,11.5,Unverified,NCES PSS 2023-24 private school search export,02004116,,Website missing in NCES export; school should claim/update profile.
Flagstaff Christian School,flagstaff-christian-school-flagstaff-az,Christian School,Other religious,Christian (no specific denomination),Regular,K-UG,K,UG,3500 N 4Th,Flagstaff,Coconino,AZ,86003,(928) 380-7974,,384,384,14.01,Unverified,NCES PSS 2023-24 private school search export,A0700043,,Website missing in NCES export; school should claim/update profile.
Florence Baptist Academy,florence-baptist-academy-florence-az,Christian School,Other religious,Christian (no specific denomination),Regular,K-UG,K,UG,30 N Willow,Florence,Pinal,AZ,85132,(520) 868-1728,,33,33,4.12,Unverified,NCES PSS 2023-24 private school search export,A0900124,,Website missing in NCES export; school should claim/update profile.
Fourteensix Christian Academy,fourteensix-christian-academy-surprise-az,Christian School,Other religious,Christian (no specific denomination),Regular,K-12,K,12,15175 W Mondell Rd,Surprise,Maricopa,AZ,85374,(623) 248-7285,,104,104,16,Unverified,NCES PSS 2023-24 private school search export,A1990016,,Website missing in NCES export; school should claim/update profile.
Gethsemane Lutheran School,gethsemane-lutheran-school-tempe-az,Christian School,Other religious,Evangelical Lutheran Church in America,Early childhood/child care,PK-TK,PK,TK,1035 E Guadalupe Rd,Tempe,Maricopa,AZ,85283,(480) 839-0906,,70,6,0.5,Unverified,NCES PSS 2023-24 private school search export,02003291,,Website missing in NCES export; school should claim/update profile.
Gilbert Christian Schools - Greenfield Campus,gilbert-christian-schools-greenfield-campus-gilbert-az,Christian School,Other religious,Christian (no specific denomination),,PK-9,PK,9,4341 S Greenfield Rd,Gilbert,Maricopa,AZ,85297,(480) 638-8000,,599,567,,Unverified,NCES PSS 2023-24 private school search export,A1970256,,Website missing in NCES export; school should claim/update profile.
Glenview Adventist Academy,glenview-adventist-academy-phoenix-az,Christian School,Other religious,Other Christian/Religious,Regular,K-9,K,9,6801 N 43Rd Ave,Phoenix,Maricopa,AZ,85019,(623) 931-1846,,151,151,18.87,Unverified,NCES PSS 2023-24 private school search export,00033193,Yes,Website missing in NCES export; school should claim/update profile.
Global Schools Starseed And Urantion Child & Teens,global-schools-starseed-and-urantion-child-teens-rio-rico-az,Christian School,Other religious,Other Religious,Alternative,UG,UG,UG,2074 Pendleton Drive,Rio Rico,Santa Cruz,AZ,85648,(520) 403-6271,,20,20,2.89,Unverified,NCES PSS 2023-24 private school search export,A2192012,Yes,Website missing in NCES export; school should claim/update profile.
Gospel Outreach Christian School,gospel-outreach-christian-school-wickenburg-az,Christian School,Other religious,Other Religious,Regular,2-UG,2,UG,505 W Wickenburg Way,Wickenburg,Maricopa,AZ,85390,(928) 684-5227,,10,10,3.22,Unverified,NCES PSS 2023-24 private school search export,A9100355,Yes,Website missing in NCES export; school should claim/update profile.
Grace Christian Academy,grace-christian-academy-tempe-az,Christian School,Other religious,Christian (no specific denomination),Regular,PK-9,PK,9,1200 E Southern Ave,Tempe,Maricopa,AZ,85282,(480) 966-5022,,338,273,11.42,Unverified,NCES PSS 2023-24 private school search export,A9100356,,Website missing in NCES export; school should claim/update profile.
Grace Lutheran School,grace-lutheran-school-glendale-az,Christian School,Other religious,Other Lutheran,Regular,PK-9,PK,9,5600 W Palmaire Ave,Glendale,Maricopa,AZ,85301,(623) 937-2010,,144,123,17.57,Unverified,NCES PSS 2023-24 private school search export,00032848,,Website missing in NCES export; school should claim/update profile.
Gracepointe Christian Academy,gracepointe-christian-academy-tucson-az,Christian School,Other religious,Christian (no specific denomination),Regular,PK-6,PK,6,5757 W Ajo Hwy,Tucson,Pima,AZ,85735,(520) 578-3249,,76,57,8.38,Unverified,NCES PSS 2023-24 private school search export,A9703817,,Website missing in NCES export; school should claim/update profile.
Great Hearts Christos,great-hearts-christos-gilbert-az,Christian School,Other religious,Christian (no specific denomination),Regular,K-6,K,6,415 N Gilbert Rd,Gilbert,Maricopa,AZ,85234,(602) 819-4796,,102,102,7.28,Unverified,NCES PSS 2023-24 private school search export,A2390012,,Website missing in NCES export; school should claim/update profile.
Great Hearts Christos-Gilbert,great-hearts-christos-gilbert-gilbert-az,Christian School,Other religious,Christian (no specific denomination),Regular,K-6,K,6,415 N Gilbert Rd,Gilbert,Maricopa,AZ,85234,(480) 659-3189,,53,53,8.03,Unverified,NCES PSS 2023-24 private school search export,A2390013,,Website missing in NCES export; school should claim/update profile.
Holbrook Seventh-Day Adventist Indian School,holbrook-seventh-day-adventist-indian-school-holbrook-az,Christian School,Other religious,Other Christian/Religious,Regular,3-UG,3,UG,2001 Mclaws Rd,Holbrook,Navajo,AZ,86025,(928) 524-6845,,72,72,6.48,Unverified,NCES PSS 2023-24 private school search export,00033218,Yes,Website missing in NCES export; school should claim/update profile.
Holy Cross Lutheran School,holy-cross-lutheran-school-phoenix-az,Christian School,Other religious,Mennonite,Regular,K-6,K,6,1420 W Thunderbird Rd,Phoenix,Maricopa,AZ,85023,(623) 688-3141,,5,5,4.54,Unverified,NCES PSS 2023-24 private school search export,A1100032,,Website missing in NCES export; school should claim/update profile.
Holy Family Academy,holy-family-academy-phoenix-az,Christian School,Catholic,Roman Catholic,Regular,K-UG,K,UG,2969 N Greenfield Rd,Phoenix,Maricopa,AZ,85016,(602) 438-6513,,146,146,11.23,Unverified,NCES PSS 2023-24 private school search export,BB220003,,Website missing in NCES export; school should claim/update profile.
Hope Christian Academy,hope-christian-academy-chandler-az,Christian School,Other religious,Christian (no specific denomination),Regular,PK-9,PK,9,1125 N Dobson Rd,Chandler,Maricopa,AZ,85224,(480) 722-1445,,154,136,12.83,Unverified,NCES PSS 2023-24 private school search export,A0500066,,Website missing in NCES export; school should claim/update profile.
Immaculate Conception Catholic School,immaculate-conception-catholic-school-cottonwood-az,Christian School,Catholic,Roman Catholic,Regular,PK-9,PK,9,750 N Bill Gray Rd,Cottonwood,Yavapai,AZ,86326,(928) 210-0029,,205,175,9.02,Unverified,NCES PSS 2023-24 private school search export,A1100045,,Website missing in NCES export; school should claim/update profile.
Immaculate Conception Catholic School,immaculate-conception-catholic-school-yuma-az,Christian School,Catholic,Roman Catholic,Regular,PK-9,PK,9,501 S Ave B,Yuma,Yuma,AZ,85364,(928) 783-5225,,243,227,19.07,Unverified,NCES PSS 2023-24 private school search export,00031039,,Website missing in NCES export; school should claim/update profile.
Immaculate Heart Academy,immaculate-heart-academy-oro-valley-az,Christian School,Catholic,Roman Catholic,,PK-9,PK,9,410 E Magee Rd,Oro Valley,Pima,AZ,85704,(520) 297-6672,,144,136,12.83,Unverified,NCES PSS 2023-24 private school search export,A9100366,,Website missing in NCES export; school should claim/update profile.
Immanuel Mission School,immanuel-mission-school-teec-nos-pos-az,Christian School,Other religious,Christian (no specific denomination),Regular,PK-9,PK,9,2000 S Rd 351,Teec Nos Pos,Apache,AZ,86514,(830) 200-0351,,50,44,3.96,Unverified,NCES PSS 2023-24 private school search export,00032939,,Website missing in NCES export; school should claim/update profile.
Ironwood Hills Christian School,ironwood-hills-christian-school-tucson-az,Christian School,Other religious,Christian (no specific denomination),Special education,K-12,K,12,2245 W Ironwood Hill Dr,Tucson,Pima,AZ,85745,(520) 833-4666,,27,27,3.91,Unverified,NCES PSS 2023-24 private school search export,02004003,,Website missing in NCES export; school should claim/update profile.
Jewell School,jewell-school-queen-creek-az,Christian School,Other religious,Christian (no specific denomination),Special program emphasis,K-11,K,11,26015 S Mandarin,Queen Creek,Maricopa,AZ,85142,(480) 805-1400,,72,72,10.9,Unverified,NCES PSS 2023-24 private school search export,A2192015,,Website missing in NCES export; school should claim/update profile.
John Paul II Catholic High School,john-paul-ii-catholic-high-school-avondale-az,Christian School,Catholic,Roman Catholic,Regular,10-UG,10,UG,3120 N 137 Ave,Avondale,Maricopa,AZ,85392,(623) 233-2777,,370,370,13.21,Unverified,NCES PSS 2023-24 private school search export,A2190036,,Website missing in NCES export; school should claim/update profile.
Lambs Gate Christian School,lambs-gate-christian-school-tucson-az,Christian School,Other religious,Christian (no specific denomination),Early childhood/child care,PK-K,PK,K,4700 N Swan Rd,Tucson,Pima,AZ,85718,(520) 299-2151,,103,4,6.66,Unverified,NCES PSS 2023-24 private school search export,A9700155,,Website missing in NCES export; school should claim/update profile.
Light Of Christ Christian Academy,light-of-christ-christian-academy-gilbert-az,Christian School,Other religious,Christian (no specific denomination),Regular,PK-2,PK,2,6289 S Greenfield Rd,Gilbert,Maricopa,AZ,85298,(480) 899-1400,,78,18,5.8,Unverified,NCES PSS 2023-24 private school search export,A2200001,,Website missing in NCES export; school should claim/update profile.
Logos Christian Academy,logos-christian-academy-casa-grande-az,Christian School,Other religious,Christian (no specific denomination),Regular,K-10,K,10,9745 N Trekell Rd,Casa Grande,Pinal,AZ,85122,(520) 421-1220,,143,143,,Unverified,NCES PSS 2023-24 private school search export,A0992003,,Website missing in NCES export; school should claim/update profile.
Loretto Catholic School,loretto-catholic-school-douglas-az,Christian School,Catholic,Roman Catholic,Regular,K-9,K,9,1200 E 14Th St,Douglas,Cochise,AZ,85607,(520) 364-5754,,222,222,24.66,Unverified,NCES PSS 2023-24 private school search export,00031094,,Website missing in NCES export; school should claim/update profile.
Lourdes Catholic School,lourdes-catholic-school-nogales-az,Christian School,Catholic,Roman Catholic,Regular,PK-UG,PK,UG,555 E Patagonia Hwy,Nogales,Santa Cruz,AZ,85621,(520) 287-5659,,306,292,16.78,Unverified,NCES PSS 2023-24 private school search export,00030873,,Website missing in NCES export; school should claim/update profile.
Maricopa Village Christian School,maricopa-village-christian-school-laveen-az,Christian School,Other religious,Other Christian/Religious,Regular,K-3,K,3,8001 W Baseline Rd,Laveen,Maricopa,AZ,85339,(520) 430-6827,,7,7,7,Unverified,NCES PSS 2023-24 private school search export,A2100189,Yes,Website missing in NCES export; school should claim/update profile.
Maricopa Village Christian School,maricopa-village-christian-school-laveen-az,Christian School,Other religious,Other Christian/Religious,Regular,K-4,K,4,8001 W Baseline Rd,Laveen,Maricopa,AZ,85339,(520) 430-6827,,8,8,8,Unverified,NCES PSS 2023-24 private school search export,BB240305,Yes,Website missing in NCES export; school should claim/update profile.
Mesa Christian Academy,mesa-christian-academy-mesa-az,Christian School,Other religious,Christian (no specific denomination),Regular,K-UG,K,UG,7918 E 1St Ave,Mesa,Maricopa,AZ,85208,(480) 641-1970,,28,28,5.71,Unverified,NCES PSS 2023-24 private school search export,BB220014,,Website missing in NCES export; school should claim/update profile.
Mountain Christian School,mountain-christian-school-show-low-az,Christian School,Other religious,Christian (no specific denomination),Regular,K-9,K,9,700 N Central Ave,Show Low,Navajo,AZ,85901,(928) 537-1050,,133,133,9.92,Unverified,NCES PSS 2023-24 private school search export,A0792004,,Website missing in NCES export; school should claim/update profile.
Native American Christian Academy,native-american-christian-academy-sun-valley-az,Christian School,Other religious,Disciples of Christ,Regular,K-UG,K,UG,8450 Sun Valley Rd,Sun Valley,Navajo,AZ,86029,(928) 524-6211,,28,28,8.48,Unverified,NCES PSS 2023-24 private school search export,00031651,,Website missing in NCES export; school should claim/update profile.
Navajo Mission Preparatory School,navajo-mission-preparatory-school-rock-point-az,Christian School,Other religious,Wisconsin Evangelical Lutheran Synod,Regular,K-4,K,4,1 Mission Ln,Rock Point,Apache,AZ,86545,(928) 659-4201,,18,18,4.61,Unverified,NCES PSS 2023-24 private school search export,00031753,,Website missing in NCES export; school should claim/update profile.
New Covenant Lutheran School,new-covenant-lutheran-school-scottsdale-az,Christian School,Other religious,Wisconsin Evangelical Lutheran Synod,Early childhood/child care,PK-TK,PK,TK,15152 N Frank Lloyd Wright Blvd,Scottsdale,Maricopa,AZ,85260,(480) 391-1264,,127,27,8.7,Unverified,NCES PSS 2023-24 private school search export,A1170268,,Website missing in NCES export; school should claim/update profile.
Noahs Ark Preschool And Kindergarten,noahs-ark-preschool-and-kindergarten-mesa-az,Christian School,Other religious,Wisconsin Evangelical Lutheran Synod,Early childhood/child care,PK-K,PK,K,2745 N 32Nd St,Mesa,Maricopa,AZ,85213,(480) 325-0687,,42,6,6,Unverified,NCES PSS 2023-24 private school search export,A0507074,,Website missing in NCES export; school should claim/update profile.
North Phoenix Baptist Church Preschool,north-phoenix-baptist-church-preschool-phoenix-az,Christian School,Other religious,Christian (no specific denomination),Early childhood/child care,PK-K,PK,K,5757 N Central Ave,Phoenix,Maricopa,AZ,85012,(602) 707-5821,,159,9,9,Unverified,NCES PSS 2023-24 private school search export,A0970036,,Website missing in NCES export; school should claim/update profile.
